sku,active,marketplace_id,amazon_marketplace_id,fba_offers,mf_offers,fba_buy_box_eligible,mf_buy_box_eligible,lowest_landed_fba,lowest_landed_mf,buy_box_a_landed,buy_box_b_landed,current_quantity,cost,min_price,auto_min_price,max_price,auto_max_price,manual_price,current_price,current_shipping,fulfillment_type,currency,map_price,asin,condition,featured,has_buy_box,is_buy_box_winner,offer_position,display_group_rank,note
BB-DFGA-R7PH,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,15,2,15,2,12.5,12.5,12.5,,0,2.98,,9.21,,,,14.99,0.0,fba,USD,,B07NPJ5N31,new_new,False,True,False,0,52244,
XL-OMLS-WA3Z,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,7,1,7,1,14.95,19.19,14.95,,0,5.16,,13.28,,,,19.92,0.0,fba,USD,,B00DF9E6ZI,new_new,False,True,False,0,58685,
D5-RX57-OXP5,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,20,11,9,8,25.0,24.23,25.0,27.8,0,19.75,,29.74,,,,28.71,0.0,mf,USD,,B085QHWCTF,new_new,False,True,False,0,18968,
3P-VET6-LS2Q,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,5,4,0,0,19.99,21.99,19.99,22.69,0,6.64,,15.63,,,,23.55,0.0,fba,USD,,B00N648M66,new_new,False,True,False,0,53122,
Y5-B0RO-V9T4,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,9,4,9,4,19.0,19.0,19.0,19.5,0,14.68,18.0,21.58,,,,19.0,0.0,mf,USD,,B0779FD6GX,new_new,False,True,False,0,33744,
RQ-7312-71VS,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,3,1,0,0,42.0,42.0,,,0,12.0,,17.64,,,,35.99,0.0,mf,USD,,B0B9SMXZR3,new_new,False,False,False,0,142496,
2Z-N1EO-6PX7,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,5,14,5,14,59.77,58.25,58.25,66.41,0,40.0,,68.63,,,,87.09,0.0,fba,USD,,B004BUYT9S,new_new,False,True,False,0,47193,
TH-IMRF-6531,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,3,15,0,0,23.8,23.79,23.8,25.99,0,8.93,,20.0,,,,45.48,0.0,fba,USD,,B083ZD1X9H,new_new,False,True,False,0,46789,
7D-8JV4-ZYJ7,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,12,13,10,9,11.97,10.89,11.97,,0,4.73,,11.24,,,,18.5,0.0,fba,USD,,B0D915GG43,new_new,False,True,False,0,50897,
5C-HIGM-91B4,False,6bcb6e01-bb5f-4dda-9d2c-b7e2a171dbc9,ATVPDKIKX0DER,18,10,12,4,45.79,43.99,45.79,,0,35.0,47.91,57.34,,,,71.87,0.0,fba,USD,,B01LVZ9MQW,new_new,False,True,False,0,51452,
